gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FB,TCGA.BH.A1FC,TCGA.BH.A203,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,2,2,2,2,2,2,2
Clinical,,Early,Early,Early,Early,Early,Late,Early,Late,Late,Late,Early,Early,Late
Subtype,,LumB,LumB,LumB,LumB,LumB,LumB,Basal,Basal,LumA,Basal,Her2,Her2,LumB
ENSG00000122862.4,na,4.391871154,6.183886344,5.895553118,3.911262968,4.842524153,4.215333952,7.915778185,6.77642955,6.690301643,6.702765837,6.00586999,4.822715451,6.794448514
ENSG00000157388.12,na,1.103706769,1.208640176,1.761138312,2.379230965,0.45424867,3.084740391,0.107076477,0.80199019,2.468070784,0.390821426,2.470991805,0.392660313,0.308120607
ENSG00000153234.12,na,2.398488551,4.594049054,1.862792955,3.063092496,1.074988086,2.192676933,3.520534755,1.750733075,4.52627888,1.812032338,1.786977628,2.525907788,3.108188379
ENSG00000130558.17,na,4.275017208,0.934712455,2.232647591,4.242930474,1.474167259,3.360767914,1.992104055,0.527229755,2.076543729,0.148105817,0.714749561,1.064944567,1.283626651
ENSG00000100385.12,na,0.919826483,0.713275737,1.109548424,0.6124963,0.738225808,0.411004352,3.541362696,2.750171467,3.612042522,3.956260942,2.494352087,1.506001401,4.154102516
ENSG00000127954.11,na,5.581405136,2.757394029,0.943402847,0.385988075,0.451987316,1.388749263,3.171244269,1.009829921,2.48342507,0.292611435,1.128822217,2.918697266,1.281140932
ENSG00000169347.15,na,0.243013496,0.657660378,1.855172174,0.173317016,0.30055465,0.84667307,0,0,3.637494619,0,0.32031268,0.032482217,1.022189008
ENSG00000135916.14,na,3.034390834,2.219780203,2.462592747,2.283060845,2.78049227,1.856327357,5.162867002,4.363409087,4.656747961,6.178627618,4.163740214,5.238168148,5.243385155
ENSG00000165457.12,na,3.259732923,3.313779954,1.488602929,1.604807731,0.723889604,1.5097287,4.685929158,4.413114028,3.63092644,1.993940059,1.585379082,3.013219266,3.0351092
ENSG00000154175.15,na,1.594050321,2.670487656,0.848415657,0.324097388,1.092187597,1.098966699,3.0809663,1.098782211,3.035845244,0.177627936,1.501082668,2.382647856,2.463764682
ENSG00000160791.13,na,0.770296854,0.72352426,1.926306284,0.453029403,0.435740629,0.426164911,4.214874806,2.791720558,2.7918347,3.057811038,2.25888164,1.05905538,4.348160377
ENSG00000174469.16,na,0.435553657,1.058885469,5.132265317,2.093016494,1.901887518,5.862742176,0.045406973,0.608441751,2.441970302,1.427878832,3.704300438,2.069426235,1.482556139
ENSG00000043039.6,na,2.047485657,1.099256658,0.316512689,0.195342504,2.399899274,0.109009265,3.006261536,4.906197283,2.466729679,5.096358138,0.487340365,4.296994843,0.835269117
ENSG00000162444.11,na,5.051523842,4.03896315,1.882065832,4.049191429,0.989316062,1.884773155,5.155732161,5.277223215,3.044780165,5.508596602,2.504671928,3.675369213,1.511943027
ENSG00000123364.4,na,1.494968024,2.297044204,3.319501643,0.142408557,1.591974421,0.933836055,1.804733116,2.585158507,2.891336221,0.817498043,2.776718057,1.161143015,3.446224362
ENSG00000163017.12,na,2.134470924,3.076963907,0.743871117,1.40745521,2.274625622,1.006851197,5.108927131,2.290056334,3.554878489,3.134045625,2.571443561,3.778846524,0.758105482
ENSG00000135549.13,na,4.086929203,3.299195445,4.440887997,4.413958121,2.446017541,5.988642795,3.881727142,1.684464854,3.636470799,1.20253098,4.270982281,1.290317503,5.143405701
ENSG00000153132.11,na,4.043990959,4.183797517,2.693440891,1.886552537,0.769245307,4.286937399,0.143202984,0.113033597,0.765355728,0.415859351,2.581535739,2.373177303,1.234130988
ENSG00000141753.6,na,10.60470273,6.703598837,7.033399688,8.508091909,6.784812959,6.329934609,8.613775567,7.056034436,8.572504535,5.556707057,7.02339596,8.68228736,6.420881349
ENSG00000078589.11,na,0.350044086,0.227017981,0.531233754,0.414744732,0.260749959,0.423751996,2.64352372,1.27877533,2.671881973,2.238816599,1.194105603,0.697767911,2.824345946
ENSG00000134363.10,na,0.632547205,3.823845005,2.613079462,2.366841134,1.968021338,0.90896687,2.997833517,1.433565849,3.424424952,1.139800544,1.764987593,3.857946128,1.263644834
ENSG00000172543.6,na,0.91322864,0.552160396,0.489138934,0.458078031,0.456570195,0.11577302,3.023944983,2.442060282,2.527962931,3.215398515,1.756044104,1.317563405,3.19323866
ENSG00000196517.10,na,1.711257246,1.691313901,3.336290301,2.962969224,1.087495351,1.135642703,2.752659479,3.960952425,2.350047482,4.162962489,1.882011893,2.78887356,1.966428673
ENSG00000226835.1,na,0.566912716,3.181263406,2.519298507,1.866950338,2.605211687,0.907910023,0.031296116,0.195097253,1.052676681,0,0.255230503,0.045449914,3.311189462
ENSG00000246082.2,na,1.788906301,2.286020607,2.545150461,0.374042898,2.368697024,0.235725342,1.805288585,0.475928746,1.556389852,0.357941874,0.379996521,0.406631202,2.379619417
ENSG00000197629.5,na,2.3842154,3.022822611,2.792036709,1.859308595,2.226111231,2.016644143,5.376060332,3.734905402,4.85663438,3.331030755,2.821316002,2.75148323,4.570930357
ENSG00000094963.12,na,1.34454979,2.90866549,0.234645684,0.264784204,0.115683413,2.01453304,2.596870097,3.06926881,3.559236919,1.515468918,1.091914111,2.875870744,0.405411313
ENSG00000179023.8,na,2.170812714,0.766426352,0.286243399,4.287490401,0.346988936,0.271882008,0.049325209,0.069748346,2.717614753,0.00423933,2.116749103,0.04662341,0.007755027
ENSG00000167700.7,na,5.405338929,2.400413002,2.713580613,2.11261022,2.996376985,4.299789848,3.148965476,4.919743147,3.695731039,4.488823632,1.887784509,2.050767542,4.320231016
ENSG00000083782.6,na,0,2.885011181,3.32068741,0.495761033,2.778681652,0.471452222,0.375644814,1.073038325,2.288081533,2.341496218,1.703030954,2.099380106,0.411763687
ENSG00000136883.11,na,7.576571837,1.370224705,3.380630943,4.217133853,0.786896518,2.319029876,1.746948323,1.596832592,2.601495948,2.681456265,1.955257636,0.114528577,0.427484848
ENSG00000214263.2,na,0.027360057,0.065562309,0.022590554,2.067510877,0.697362168,0.050614022,2.702077989,0.038263774,2.172715689,0,0.075713432,0,0.045680978
ENSG00000230076.1,na,1.027119969,1.005917341,5.984815787,0.767791764,0.88158473,0.367774644,0.732948269,0.662522831,2.743699769,5.913543272,0.36973487,0.786295873,2.718314627
ENSG00000065618.15,na,1.408135194,0.131758979,0.056893188,0.78732419,0.093780368,0.076261687,3.528703023,1.408642491,4.700418213,0.030273183,1.885023349,3.234247366,0.319774671
ENSG00000016391.9,na,3.799421312,1.377386356,3.938110395,3.443249557,0.905225965,2.87572773,2.382480079,2.876376943,3.098820121,3.72135669,1.093234971,1.25108202,3.419931218
ENSG00000144452.13,na,0.226523347,3.019331683,1.317561286,2.943637175,2.27616109,0.292136254,0.160121624,0.288590537,1.508106829,0.045665986,3.257737576,0.371473485,0.441298505
ENSG00000254726.2,na,2.694500866,1.72306953,2.937723701,3.045106044,1.310324903,2.523416615,3.663466781,3.127698059,2.203227443,5.724918188,4.107310314,2.034059135,3.689061732
ENSG00000146072.6,na,1.927856742,2.87347825,4.827861845,2.41030634,3.483333357,2.618838068,4.860061837,4.057225394,3.977108741,4.844445551,4.013122878,5.171044442,5.105321265
ENSG00000028137.15,na,2.851672677,2.280778149,2.98110061,2.238606367,1.352219217,1.816652663,5.153256107,4.196620575,4.279174523,4.47636319,3.412030938,3.100845003,4.714813228
ENSG00000187123.13,na,2.537812975,2.33715803,0.116086998,3.918726046,0.459991307,1.956926556,0.199742762,0.215509794,2.457276072,0.848160827,0.601019661,0.751654152,0.325904814
ENSG00000116039.10,na,1.104889301,0.930829621,3.023734958,1.92216801,2.133635896,4.603530498,1.837958561,2.072088871,3.085152588,0.118499579,1.30826315,1.698992482,0.702353031
ENSG00000074211.12,na,4.564018047,2.09840613,3.089980365,0.536985451,1.953060338,0.020769089,0.084953955,3.01847484,2.681271297,0.016528571,1.46059356,1.007528065,0.767624816
ENSG00000138642.13,na,0.897785626,3.768735384,2.351217785,3.433877973,2.34763404,0.717776211,5.195065053,3.258006225,2.25912516,2.718105757,1.123399314,1.637333131,3.001457655
ENSG00000050628.19,na,0.928052061,3.386488669,2.850715911,1.570687596,2.170335087,2.162368011,1.72856411,0.737452422,3.929480609,0.310317092,0.823631526,1.92274002,2.544697616
ENSG00000100079.6,na,0.602384462,0.718401721,0.33671505,0.245532995,0.260281726,0.184339497,3.209561806,2.482557408,2.576709632,0.990909667,2.395937672,0.861049031,2.957029831
ENSG00000210195.2,na,0,3.738430224,2.572133521,0,1.702614846,0.552216929,3.660236999,2.475976134,0.508285337,1.503469754,0.954799263,0.551419335,2.644326985
ENSG00000159166.12,na,1.763936488,3.818356877,2.652351935,5.711630495,1.707792719,2.533313312,5.22351664,3.844254872,2.87286877,2.957577298,4.457020942,5.059932662,5.564139916
ENSG00000041353.8,na,2.26219593,4.000163865,3.359767524,5.00360924,2.960951661,2.808934501,0.669587235,1.951576742,4.098782429,0.813812374,3.999517702,2.785603447,2.233095374
ENSG00000169562.9,na,0.092825503,0.115938814,2.041392003,0.649490018,0.464197985,0.058403916,0.040203071,0.058613474,0.971125958,0.009740391,4.432580539,2.570968595,1.736652792
ENSG00000173335.4,na,1.293551209,0,2.601052662,0.254580979,3.403530083,4.800795117,0,0,0.049658215,0,0,0,0.199198066
ENSG00000183569.16,na,3.393222147,2.618891685,1.190774358,3.838647439,0.263601042,0.301886502,1.002702228,0.504723159,1.997867014,0.318332582,0.799835227,3.374634566,0.447541607
ENSG00000116667.11,na,1.614646344,3.216972043,1.938615634,4.928764722,1.382653086,0.725665025,3.011594823,1.632831087,3.904942707,2.356391537,3.379672556,1.957751299,2.301359649
ENSG00000127951.5,na,1.921687013,3.03532946,2.530125711,1.741319376,1.69546656,2.072007695,5.303635033,3.793898071,4.900628502,3.666880947,2.980509256,2.151568709,4.293020255
ENSG00000134028.13,na,0.337997374,0.462662268,2.442562157,0.925490985,1.090380333,0.404931395,4.515571536,3.846961452,2.111541241,3.468178825,2.395357324,0.682499134,4.535874316
ENSG00000088882.7,na,2.204738772,2.759484629,3.08438322,1.88920077,2.313570984,0.532315216,4.86604814,3.062558111,4.942367965,2.874280851,2.801179326,5.8841953,3.101831418
ENSG00000171954.11,na,2.056019125,0.780277049,0.312461546,4.889404308,0.079002298,3.634548894,0.067328231,0.254323563,2.664488771,0.103589946,0.121457725,0.057515388,0.116238993
ENSG00000172986.11,na,1.06910319,4.134911439,2.99605964,1.564386568,3.541177291,1.820477562,2.147407175,1.821110026,3.829024332,0.749551522,2.947291585,5.029593547,1.039091968
ENSG00000196917.5,na,5.013946196,2.645275196,4.177160622,4.151720564,3.145689285,4.499285727,0.99847003,0.352723487,3.19191004,0.568201136,3.358599756,0.602873213,3.781224356
ENSG00000187840.4,na,5.286177367,4.21950049,7.480478322,4.553200497,5.480538588,6.850411891,5.390180417,6.069020842,3.481667583,7.108083524,9.169244517,5.434632731,6.880386137
ENSG00000240972.1,na,5.183615271,3.183138111,4.657598689,4.53455326,3.55612764,2.496725436,3.241400469,6.010491515,3.961512351,4.516335865,5.745365634,2.691058686,2.907150816
ENSG00000112559.12,na,4.277526567,2.205107845,1.002094274,3.387535329,2.184313746,0.232480691,2.845446805,2.103204335,2.300939378,1.589936072,3.312459674,3.269062967,0.652180687
ENSG00000211747.3,na,0.400187179,0.255894967,0.813609766,0.266501323,0,0.069952903,2.667292999,1.362176012,2.599833932,2.987102611,1.504295433,0.739456706,2.809301807
ENSG00000007908.14,na,0.605891451,3.384467011,1.310664792,0.732015477,0.30678638,1.468691719,2.68163526,1.401761367,4.493673617,1.834238162,1.495712932,0.989189076,2.835696315
