gene_id,Groups,TCGA.AC.A2FM,TCGA.BH.A1EN,TCGA.BH.A1EO,TCGA.BH.A1ET,TCGA.BH.A1EV,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FG,TCGA.BH.A1FJ,TCGA.BH.A1FM,TCGA.BH.A1FN,TCGA.BH.A204,TCGA.BH.A1F0,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A208,TCGA.BH.A209
,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
,,Early,Early,Late,Late,Early,Early,Early,Late,Early,Early,Early,Late,Early,Late,Late,Early,Late
,,LumB,Her2,LumB,LumA,Her2,LumB,LumB,LumA,LumB,LumB,LumB,LumB,Basal,Basal,Basal,Her2,LumB
ENSG00000100368.12>CSF2RB,na,1.046925353,1.062428553,2.354849689,1.708672186,0.958013146,1.484452679,1.528823424,1.027583339,0.923399227,1.173812816,1.012901815,0.859649866,3.670696612,2.676619448,2.054961106,1.518531818,3.211599381
ENSG00000180447.6>GAS1,na,1.305166982,2.052526912,4.598394284,2.885429034,3.69834127,3.75577742,3.573995709,1.836618012,2.162778815,3.829730283,3.376369307,1.22820971,3.901540418,3.625544506,4.083164906,5.030388204,2.448453669
ENSG00000276775.1>IGHV4-4,na,0.560635705,0.048217615,0.652881388,0.834271435,0.165471812,0,0.091187513,1.384937007,0,0.050591022,0.404955959,0,3.688116582,0.874512883,5.91823328,2.388638301,2.966488892
ENSG00000175063.15>UBE2C,na,4.924816624,3.316105373,2.913878403,1.913851658,4.062709552,5.264079093,4.800606996,3.514484835,4.97997112,5.282995142,5.726361381,4.684994041,5.129693919,6.00973551,6.701506521,3.403347445,5.459005542
ENSG00000158373.8>HIST1H2BD,na,3.834244013,4.013349505,2.73608592,5.555625478,5.026555806,6.859317739,6.020758211,7.168382275,7.278549361,5.496704676,3.201107025,5.347192964,4.901296862,3.145166937,5.921407185,2.333143015,3.619004346
ENSG00000198624.11>CCDC69,na,2.358491241,1.562114465,2.407912018,2.022470236,0.680086692,2.453164516,0.927397776,1.48159783,0.745773417,0.820506548,1.092314214,0.991564314,4.166592592,2.370578539,3.13738897,1.894061259,3.624427706
ENSG00000224389.7>C4B,na,1.069909233,0.834072985,3.19663724,4.660695889,5.316413276,3.318375255,3.110915144,2.101111265,3.257986054,1.146009245,3.286943306,0.15187693,1.106891972,1.00902547,2.321335888,1.423172034,1.953101257
ENSG00000007038.9>PRSS21,na,0.03586382,0.030852075,0.130095158,1.182046039,0.686849835,0.166390649,3.704205394,0.107887811,0.060184499,0.84959763,3.932269655,0.058976081,4.170050881,4.690918451,3.233507684,1.962560676,0.268339809
ENSG00000142694.6>EVA1B,na,4.633526412,2.991252304,4.670077214,3.196363374,3.553514274,1.93508823,4.953384418,4.887766013,4.132335278,1.218623938,3.1783394,0.709634091,2.535585242,2.918785964,2.606105682,2.489952658,2.095778166
ENSG00000109062.8>SLC9A3R1,na,10.26822097,5.691136095,5.58143083,7.213552155,6.463689957,7.555797276,6.9546687,9.19512139,6.872226779,8.242865438,6.851554695,7.754178227,4.800785247,5.050731089,5.820029405,4.387360123,6.597737261
ENSG00000168280.15>KIF5C,na,1.726962726,0.28133226,1.605529938,3.608614127,0.791982426,3.033691608,2.84036161,0.692945281,3.38908042,2.139491388,3.327382112,2.658037869,0.580877713,0.366399156,2.002444287,0.429490737,0.652388714
ENSG00000169891.16>REPS2,na,5.504363573,1.33835871,4.134254389,6.840379739,2.585025455,3.267531349,2.556264171,4.726359641,3.436366743,3.253067448,1.624191742,4.828349961,1.914033415,1.50556821,1.81195664,1.29549483,1.640730876
ENSG00000122862.4>SRGN,na,4.391871154,4.297788375,5.97751391,5.970561875,4.113658387,6.183886344,5.895553118,5.314606336,3.911262968,4.842524153,6.138845274,4.215333952,7.915778185,6.77642955,6.702765837,4.822715451,6.794448514
ENSG00000157388.12>CACNA1D,na,1.103706769,1.800277323,1.708957053,2.405716874,1.488256981,1.208640176,1.761138312,1.099134503,2.379230965,0.45424867,0.294103026,3.084740391,0.107076477,0.80199019,0.390821426,0.392660313,0.308120607
ENSG00000153234.12>NR4A2,na,2.398488551,4.820447588,1.793490084,4.289281816,1.321325254,4.594049054,1.862792955,3.682058963,3.063092496,1.074988086,2.21030081,2.192676933,3.520534755,1.750733075,1.812032338,2.525907788,3.108188379
ENSG00000130558.17>OLFM1,na,4.275017208,0.40717628,1.019114355,0.765739303,0.504032075,0.934712455,2.232647591,2.559070766,4.242930474,1.474167259,2.325746047,3.360767914,1.992104055,0.527229755,0.148105817,1.064944567,1.283626651
ENSG00000100385.12>IL2RB,na,0.919826483,0.817950601,1.980046795,1.394570573,0.622124634,0.713275737,1.109548424,0.878469957,0.6124963,0.738225808,1.399876027,0.411004352,3.541362696,2.750171467,3.956260942,1.506001401,4.154102516
ENSG00000127954.11>STEAP4,na,5.581405136,3.968566109,2.001520136,1.545979551,1.090656477,2.757394029,0.943402847,1.045105317,0.385988075,0.451987316,0.45049656,1.388749263,3.171244269,1.009829921,0.292611435,2.918697266,1.281140932
ENSG00000169347.15>GP2,na,0.243013496,0.010066833,0.290094381,2.117925133,3.927711265,0.657660378,1.855172174,0.871913281,0.173317016,0.30055465,2.007562841,0.84667307,0,0,0,0.032482217,1.022189008
ENSG00000135916.14>ITM2C,na,3.034390834,4.869690802,3.509618679,3.093387312,3.489157907,2.219780203,2.462592747,1.931197596,2.283060845,2.78049227,3.851001049,1.856327357,5.162867002,4.363409087,6.178627618,5.238168148,5.243385155
ENSG00000165457.12>FOLR2,na,3.259732923,3.400318845,3.48136657,1.076041103,1.702566188,3.313779954,1.488602929,2.079002933,1.604807731,0.723889604,0.578264986,1.5097287,4.685929158,4.413114028,1.993940059,3.013219266,3.0351092
ENSG00000154175.15>ABI3BP,na,1.594050321,0.804210703,2.82712726,1.998257247,0.324654959,2.670487656,0.848415657,0.710015195,0.324097388,1.092187597,0.673497703,1.098966699,3.0809663,1.098782211,0.177627936,2.382647856,2.463764682
ENSG00000160791.13>CCR5,na,0.770296854,0.669497368,2.231841984,2.043858446,0.564088041,0.72352426,1.926306284,1.138874007,0.453029403,0.435740629,1.566886559,0.426164911,4.214874806,2.791720558,3.057811038,1.05905538,4.348160377
ENSG00000174469.16>CNTNAP2,na,0.435553657,3.141529363,0.051875926,1.755773685,0.239245365,1.058885469,5.132265317,0.87364696,2.093016494,1.901887518,0.564494592,5.862742176,0.045406973,0.608441751,1.427878832,2.069426235,1.482556139
ENSG00000043039.6>BARX2,na,2.047485657,2.18981624,1.792151725,2.977732522,3.278728589,1.099256658,0.316512689,4.600069527,0.195342504,2.399899274,1.94218097,0.109009265,3.006261536,4.906197283,5.096358138,4.296994843,0.835269117
ENSG00000162444.11>RBP7,na,5.051523842,3.782078339,3.074204629,3.040769802,2.180036428,4.03896315,1.882065832,4.058653497,4.049191429,0.989316062,2.727659812,1.884773155,5.155732161,5.277223215,5.508596602,3.675369213,1.511943027
ENSG00000123364.4>HOXC13,na,1.494968024,3.156053084,3.271506506,2.353878652,0.982637262,2.297044204,3.319501643,1.273999329,0.142408557,1.591974421,4.473189402,0.933836055,1.804733116,2.585158507,0.817498043,1.161143015,3.446224362
ENSG00000163017.12>ACTG2,na,2.134470924,0.268476895,1.997084929,0.611498136,1.792683357,3.076963907,0.743871117,1.193137972,1.40745521,2.274625622,0.768280714,1.006851197,5.108927131,2.290056334,3.134045625,3.778846524,0.758105482
ENSG00000135549.13>PKIB,na,4.086929203,3.181607603,1.895175837,5.435680093,3.324451615,3.299195445,4.440887997,3.85910326,4.413958121,2.446017541,2.887158019,5.988642795,3.881727142,1.684464854,1.20253098,1.290317503,5.143405701
ENSG00000153132.11>CLGN,na,4.043990959,5.599053949,0.172742613,4.905235317,3.065945982,4.183797517,2.693440891,4.240052202,1.886552537,0.769245307,2.224391267,4.286937399,0.143202984,0.113033597,0.415859351,2.373177303,1.234130988
ENSG00000141753.6>IGFBP4,na,10.60470273,6.793797604,8.564252761,9.003273001,8.710262775,6.703598837,7.033399688,10.03136682,8.508091909,6.784812959,7.242531199,6.329934609,8.613775567,7.056034436,5.556707057,8.68228736,6.420881349
